text,optionA,optionB,optionC,optionD,correctOption,difficulty,classLevel,term,explanation,topicTitle
"Which of the following is the SI unit of electric current?","Volt","Ohm","Ampere","Watt","C","EASY","SS1","FIRST","The SI unit of electric current is the Ampere (A), named after André-Marie Ampère. Volt is the unit of potential difference, Ohm is the unit of resistance, and Watt is the unit of power.","Measurement & Units"
"A physical quantity that has both magnitude and direction is called a","scalar","vector","unit","base quantity","B","EASY","SS1","FIRST","A vector quantity has both magnitude and direction (e.g. velocity, force). A scalar quantity has only magnitude (e.g. speed, mass).","Scalars & Vectors"
"The resultant of two vectors of magnitudes 3 N and 4 N acting at right angles to each other is","5 N","7 N","1 N","12 N","A","EASY","SS1","FIRST","Using the Pythagorean theorem: R = √(3² + 4²) = √(9 + 16) = √25 = 5 N.","Scalars & Vectors"
"Which of the following is a scalar quantity?","Velocity","Displacement","Temperature","Weight","C","EASY","SS1","FIRST","Temperature has only magnitude and no direction, making it a scalar. Velocity, displacement and weight all have direction and are vectors.","Scalars & Vectors"
"The distance covered per unit time is called","acceleration","displacement","speed","velocity","C","EASY","SS1","FIRST","Speed is the rate of change of distance with time. Velocity is the rate of change of displacement with time and includes direction.","Motion"
"A car starts from rest and reaches a velocity of 20 m/s in 5 seconds. Its acceleration is","4 m/s²","100 m/s²","25 m/s²","15 m/s²","A","EASY","SS1","FIRST","Acceleration = (v - u)/t = (20 - 0)/5 = 4 m/s². Since it starts from rest, u = 0.","Motion"
"Which equation of motion correctly relates displacement, initial velocity, time and acceleration?","v = u + at","s = ut + ½at²","v² = u² + 2as","F = ma","B","MEDIUM","SS1","FIRST","The equation s = ut + ½at² gives displacement in terms of initial velocity (u), time (t) and acceleration (a). The others relate to velocity and force.","Motion"
"Newton's first law of motion is also known as the law of","gravitation","inertia","momentum","action and reaction","B","EASY","SS1","SECOND","Newton's first law states that a body remains at rest or in uniform motion unless acted upon by an external force. This tendency to resist change in motion is called inertia.","Forces"
"The weight of a body of mass 5 kg on Earth where g = 10 m/s² is","50 N","5 N","0.5 N","500 N","A","EASY","SS1","SECOND","Weight W = mg = 5 × 10 = 50 N. Weight is the gravitational force acting on a mass.","Forces"
"Which of the following is the correct statement of Newton's third law?","Every action has an equal and opposite reaction","Force equals mass times acceleration","A body remains at rest unless acted upon","Momentum is conserved in all collisions","A","EASY","SS1","SECOND","Newton's third law states that for every action, there is an equal and opposite reaction. Forces always occur in pairs.","Forces"
"A force of 20 N acts on a body of mass 4 kg. The acceleration produced is","5 m/s²","80 m/s²","16 m/s²","0.2 m/s²","A","EASY","SS1","SECOND","From Newton's second law, a = F/m = 20/4 = 5 m/s².","Forces"
"The work done by a force of 10 N moving a body through 5 m in the direction of the force is","50 J","2 J","15 J","0.5 J","A","EASY","SS1","THIRD","Work = Force × distance = 10 × 5 = 50 J. Work is done when a force causes displacement in its own direction.","Work, Energy & Power"
"The energy possessed by a body due to its position is called","kinetic energy","thermal energy","potential energy","chemical energy","C","EASY","SS1","THIRD","Gravitational potential energy is the energy stored in an object due to its height above a reference point. KE is due to motion.","Work, Energy & Power"
