text,optionA,optionB,optionC,optionD,correctOption,difficulty,classLevel,term,explanation,topicTitle
"Which of the following is a fundamental quantity?","Length","Speed","Area","Volume","A","EASY","SS1","FIRST","Length is one of the seven base quantities in physics.","Measurement"
"The SI unit of electric current is the:","Volt","Ohm","Ampere","Watt","C","EASY","SS1","FIRST","Ampere (A) is the SI base unit for electric current.","Measurement"
"Which of the following is a vector quantity?","Mass","Displacement","Time","Speed","B","MEDIUM","SS1","FIRST","Displacement has both magnitude and direction.","Motion"
"The rate of change of displacement with time is defined as:","Speed","Velocity","Acceleration","Momentum","B","EASY","SS1","SECOND","Velocity is the vector quantity representing change in displacement over time.","Motion"
"Newton's First Law of Motion is also known as the Law of:","Inertia","Momentum","Action-Reaction","Gravitation","A","EASY","SS1","SECOND","First law states that an object maintains state of rest or uniform motion unless acted upon by an external force.","Force"
"Calculate the work done when a force of 50N moves a body through 10m in the direction of force.","5 J","50 J","500 J","5000 J","C","MEDIUM","SS1","THIRD","Work Done = Force x Distance = 50 * 10 = 500 Joules.","Work, Energy and Power"
"The process by which heat travels through a vacuum is:","Conduction","Convection","Radiation","Evaporation","C","EASY","SS2","FIRST","Radiation requires no material medium for heat transfer.","Heat"
"The angle of incidence is equal to the angle of reflection is stated by:","Snell's Law","Law of Reflection","Hooke's Law","Boyle's Law","B","EASY","SS2","SECOND","This is the fundamental law of reflection for plane mirrors.","Light"
"Which device is used to store electric charge?","Resistor","Capacitor","Inductor","Transformer","B","MEDIUM","SS2","THIRD","Capacitors store electrical potential energy in an electric field.","Electricity"
"The phenomenon of emission of electrons from a metal surface when light falls on it is called:","Thermionic emission","Photoelectric effect","Radioactivity","Ionization","B","HARD","SS3","FIRST","Photoelectric effect involves light photons ejecting electrons.","Modern Physics"
"Which of the following is a fundamental quantity? (Variation 2)","Length","Speed","Area","Volume","A","EASY","SS1","FIRST","Length is one of the seven base quantities in physics.","Measurement"
"The SI unit of electric current is the: (Variation 2)","Volt","Ohm","Ampere","Watt","C","EASY","SS1","FIRST","Ampere (A) is the SI base unit for electric current.","Measurement"
"Which of the following is a vector quantity? (Variation 2)","Mass","Displacement","Time","Speed","B","MEDIUM","SS1","FIRST","Displacement has both magnitude and direction.","Motion"
"The rate of change of displacement with time is defined as: (Variation 2)","Speed","Velocity","Acceleration","Momentum","B","EASY","SS1","SECOND","Velocity is the vector quantity representing change in displacement over time.","Motion"
