text,optionA,optionB,optionC,optionD,correctOption,difficulty,classLevel,term,explanation,topicTitle
"Choose the synonym for 'OBSTINATE':","Flexible","Stubborn","Gentle","Generous","B","EASY","SS1","FIRST","Obstinate means refusing to change one's opinion; stubborn.","Lexis and Structure"
"Choose the antonym for 'BENEVOLENT':","Kind","Malevolent","Friendly","Helpful","B","EASY","SS1","FIRST","Benevolent means well-meaning/kind; malevolent means wishing evil.","Lexis and Structure"
"Identify the part of speech of the underlined word: She sang 'sweetly'.","Noun","Verb","Adjective","Adverb","D","EASY","SS1","SECOND","'Sweetly' modifies the verb 'sang', making it an adverb.","Grammar"
"Choose the correct sentence:","Neither of the boys were present.","Neither of the boys is present.","Neither of the boys are present.","Neither of the boys have been present.","B","MEDIUM","SS1","THIRD","'Neither' takes a singular verb ('is').","Subject-Verb Agreement"
"The figure of speech in 'The wind whispered through the trees' is:","Metaphor","Personification","Simile","Hyperbole","B","EASY","SS2","FIRST","Giving human qualities (whispering) to non-human elements (wind) is personification.","Figures of Speech"
"Select the word with the same vowel sound as in 'SEAT':","Sit","Beat","Set","Cat","B","MEDIUM","SS2","SECOND","'Seat' and 'Beat' share the long /i:/ vowel sound.","Oral English"
"Choose the option that correctly completes the sentence: The teacher insisted ____ clean writing.","in","on","at","with","B","EASY","SS2","THIRD","The verb 'insist' is followed by the preposition 'on'.","Prepositions"
"What is the meaning of the idiom 'To bite the dust'?","To eat dirt","To fail or die","To clean up","To run fast","B","MEDIUM","SS3","FIRST","'Bite the dust' means to suffer defeat, fail, or die.","Idioms and Register"
"Choose the word with the primary stress on the first syllable:","Export (noun)","Receive","Decide","Perform","A","HARD","SS3","SECOND","As a noun, EX-port has stress on the first syllable.","Oral English"
"Identify the type of clause in brackets: [What he said] shocked everyone.","Adverbial clause","Adjective clause","Noun clause","Prepositional clause","C","HARD","SS3","THIRD","'What he said' functions as the subject of the sentence, making it a noun clause.","Grammar"
"Choose the synonym for 'OBSTINATE': (Variation 2)","Flexible","Stubborn","Gentle","Generous","B","EASY","SS1","FIRST","Obstinate means refusing to change one's opinion; stubborn.","Lexis and Structure"
"Choose the antonym for 'BENEVOLENT': (Variation 2)","Kind","Malevolent","Friendly","Helpful","B","EASY","SS1","FIRST","Benevolent means well-meaning/kind; malevolent means wishing evil.","Lexis and Structure"
"Identify the part of speech of the underlined word: She sang 'sweetly'. (Variation 2)","Noun","Verb","Adjective","Adverb","D","EASY","SS1","SECOND","'Sweetly' modifies the verb 'sang', making it an adverb.","Grammar"
"Choose the correct sentence: (Variation 2)","Neither of the boys were present.","Neither of the boys is present.","Neither of the boys are present.","Neither of the boys have been present.","B","MEDIUM","SS1","THIRD","'Neither' takes a singular verb ('is').","Subject-Verb Agreement"
"The figure of speech in 'The wind whispered through the trees' is: (Variation 2)","Metaphor","Personification","Simile","Hyperbole","B","EASY","SS2","FIRST","Giving human qualities (whispering) to non-human elements (wind) is personification.","Figures of Speech"
"Select the word with the same vowel sound as in 'SEAT': (Variation 2)","Sit","Beat","Set","Cat","B","MEDIUM","SS2","SECOND","'Seat' and 'Beat' share the long /i:/ vowel sound.","Oral English"
"Choose the option that correctly completes the sentence: The teacher insisted ____ clean writing. (Variation 2)","in","on","at","with","B","EASY","SS2","THIRD","The verb 'insist' is followed by the preposition 'on'.","Prepositions"
"What is the meaning of the idiom 'To bite the dust'? (Variation 2)","To eat dirt","To fail or die","To clean up","To run fast","B","MEDIUM","SS3","FIRST","'Bite the dust' means to suffer defeat, fail, or die.","Idioms and Register"
"Choose the word with the primary stress on the first syllable: (Variation 2)","Export (noun)","Receive","Decide","Perform","A","HARD","SS3","SECOND","As a noun, EX-port has stress on the first syllable.","Oral English"
"Identify the type of clause in brackets: [What he said] shocked everyone. (Variation 2)","Adverbial clause","Adjective clause","Noun clause","Prepositional clause","C","HARD","SS3","THIRD","'What he said' functions as the subject of the sentence, making it a noun clause.","Grammar"
