text,optionA,optionB,optionC,optionD,correctOption,difficulty,classLevel,term,explanation,topicTitle
"Which of the following methods is best used to separate a mixture of salt and water?","Filtration","Evaporation","Decantation","Sublimation","B","EASY","SS1","FIRST","Evaporation removes the liquid solvent leaving the solid salt.","Separation Techniques"
"The atomic number of an element indicates the number of:","Neutrons","Protons","Electrons and Neutrons","Nucleons","B","EASY","SS1","FIRST","Atomic number is the number of protons in the nucleus of an atom.","Atomic Structure"
"The chemical formula for Sodium Chloride is:","NaCl","NaOH","Na2CO3","HCl","A","EASY","SS1","SECOND","Sodium (Na+) and Chloride (Cl-) combine 1:1 to form NaCl.","Chemical Reactions"
"Which type of bond is formed by sharing electrons between two non-metals?","Ionic bond","Covalent bond","Metallic bond","Dative bond","B","MEDIUM","SS1","THIRD","Covalent bonding involves shared electron pairs between non-metal atoms.","Chemical Bonding"
"An acid is a substance which produces what ion in aqueous solution?","OH-","H+","Na+","Cl-","B","EASY","SS2","FIRST","Arrhenius definition: Acids produce H+ (or H3O+) ions in water.","Acids, Bases and Salts"
"What is the pH of a neutral solution at 25°C?","0","7","14","1","B","EASY","SS2","FIRST","A pH of 7 represents a neutral solution.","Acids, Bases and Salts"
"The gas evolved when dil HCl reacts with CaCO3 is:","Hydrogen","Oxygen","Carbon Dioxide","Chlorine","C","MEDIUM","SS2","SECOND","Carbonates react with acids to yield salt, water, and CO2 gas.","Carbon and its Compounds"
"Hydrocarbons containing double bonds between carbon atoms are called:","Alkanes","Alkenes","Alkynes","Alkanols","B","MEDIUM","SS3","FIRST","Alkenes are unsaturated hydrocarbons with C=C double bonds.","Organic Chemistry"
"The functional group -OH belongs to:","Alkanoic acids","Alkanols","Alkanals","Esters","B","MEDIUM","SS3","FIRST","-OH is the hydroxyl functional group characteristic of alcohols (alkanols).","Organic Chemistry"
"Which gas is responsible for global warming?","Nitrogen","Oxygen","Carbon Dioxide","Argon","C","EASY","SS3","SECOND","Carbon dioxide traps heat in the atmosphere contributing to global warming.","Environmental Chemistry"
"Which of the following methods is best used to separate a mixture of salt and water? (Variation 2)","Filtration","Evaporation","Decantation","Sublimation","B","EASY","SS1","FIRST","Evaporation removes the liquid solvent leaving the solid salt.","Separation Techniques"
"The atomic number of an element indicates the number of: (Variation 2)","Neutrons","Protons","Electrons and Neutrons","Nucleons","B","EASY","SS1","FIRST","Atomic number is the number of protons in the nucleus of an atom.","Atomic Structure"
"The chemical formula for Sodium Chloride is: (Variation 2)","NaCl","NaOH","Na2CO3","HCl","A","EASY","SS1","SECOND","Sodium (Na+) and Chloride (Cl-) combine 1:1 to form NaCl.","Chemical Reactions"
"Which type of bond is formed by sharing electrons between two non-metals? (Variation 2)","Ionic bond","Covalent bond","Metallic bond","Dative bond","B","MEDIUM","SS1","THIRD","Covalent bonding involves shared electron pairs between non-metal atoms.","Chemical Bonding"
"An acid is a substance which produces what ion in aqueous solution? (Variation 2)","OH-","H+","Na+","Cl-","B","EASY","SS2","FIRST","Arrhenius definition: Acids produce H+ (or H3O+) ions in water.","Acids, Bases and Salts"
"What is the pH of a neutral solution at 25°C? (Variation 2)","0","7","14","1","B","EASY","SS2","FIRST","A pH of 7 represents a neutral solution.","Acids, Bases and Salts"
"The gas evolved when dil HCl reacts with CaCO3 is: (Variation 2)","Hydrogen","Oxygen","Carbon Dioxide","Chlorine","C","MEDIUM","SS2","SECOND","Carbonates react with acids to yield salt, water, and CO2 gas.","Carbon and its Compounds"
"Hydrocarbons containing double bonds between carbon atoms are called: (Variation 2)","Alkanes","Alkenes","Alkynes","Alkanols","B","MEDIUM","SS3","FIRST","Alkenes are unsaturated hydrocarbons with C=C double bonds.","Organic Chemistry"
