text,optionA,optionB,optionC,optionD,correctOption,difficulty,classLevel,term,explanation,topicTitle
"Simplify surd sqrt(50).","2*sqrt(5)","5*sqrt(2)","10*sqrt(5)","25*sqrt(2)","B","EASY","SS1","FIRST","sqrt(50) = sqrt(25 * 2) = 5*sqrt(2).","Surds"
"Find the remainder when f(x) = x^3 - 2x^2 + 4 is divided by (x - 1).","1","3","5","7","B","MEDIUM","SS1","SECOND","By Remainder Theorem, f(1) = 1^3 - 2(1) + 4 = 3.","Polynomials"
"Evaluate limit as x approaches 2 of (x^2 - 4)/(x - 2).","0","2","4","Undefined","C","MEDIUM","SS2","FIRST","(x-2)(x+2)/(x-2) = x+2. As x->2, limit = 4.","Calculus"
"Find dy/dx if y = sin(2x).","cos(2x)","2*cos(2x)","-2*cos(2x)","0.5*cos(2x)","B","MEDIUM","SS2","SECOND","Using chain rule, d(sin 2x)/dx = 2 cos 2x.","Calculus"
"Evaluate the integral of (2x + 3) dx.","x^2 + 3x + C","2x^2 + 3x + C","x^2 + C","6x + C","A","EASY","SS2","SECOND","Integral of 2x = x^2, integral of 3 = 3x. Result = x^2 + 3x + C.","Calculus"
"Express in i-notation: sqrt(-16).","4i","-4i","16i","-16i","A","EASY","SS2","THIRD","sqrt(-16) = sqrt(16) * sqrt(-1) = 4i.","Complex Numbers"
"Find the determinant of matrix [[3, 2], [1, 4]].","10","14","12","8","A","EASY","SS2","THIRD","Det = (3*4) - (2*1) = 12 - 2 = 10.","Matrices"
"Find the magnitude of vector a = 3i + 4j.","5","7","1","25","A","EASY","SS3","FIRST","|a| = sqrt(3^2 + 4^2) = sqrt(9 + 16) = 5.","Vectors"
"Calculate the momentum of a 4kg mass moving at 5m/s.","9 kg m/s","20 kg m/s","1.25 kg m/s","40 kg m/s","B","EASY","SS3","SECOND","Momentum = mass * velocity = 4 * 5 = 20 kg m/s.","Mechanics"
"If nC2 = 15, find n.","5","6","7","8","B","HARD","SS3","THIRD","n(n-1)/2 = 15 => n^2 - n - 30 = 0 => (n-6)(n+5)=0 => n = 6.","Combinatorics"
"Simplify surd sqrt(50). (Variation 2)","2*sqrt(5)","5*sqrt(2)","10*sqrt(5)","25*sqrt(2)","B","EASY","SS1","FIRST","sqrt(50) = sqrt(25 * 2) = 5*sqrt(2).","Surds"
"Find the remainder when f(x) = x^3 - 2x^2 + 4 is divided by (x - 1). (Variation 2)","1","3","5","7","B","MEDIUM","SS1","SECOND","By Remainder Theorem, f(1) = 1^3 - 2(1) + 4 = 3.","Polynomials"
"Evaluate limit as x approaches 2 of (x^2 - 4)/(x - 2). (Variation 2)","0","2","4","Undefined","C","MEDIUM","SS2","FIRST","(x-2)(x+2)/(x-2) = x+2. As x->2, limit = 4.","Calculus"
"Find dy/dx if y = sin(2x). (Variation 2)","cos(2x)","2*cos(2x)","-2*cos(2x)","0.5*cos(2x)","B","MEDIUM","SS2","SECOND","Using chain rule, d(sin 2x)/dx = 2 cos 2x.","Calculus"
"Evaluate the integral of (2x + 3) dx. (Variation 2)","x^2 + 3x + C","2x^2 + 3x + C","x^2 + C","6x + C","A","EASY","SS2","SECOND","Integral of 2x = x^2, integral of 3 = 3x. Result = x^2 + 3x + C.","Calculus"
"Express in i-notation: sqrt(-16). (Variation 2)","4i","-4i","16i","-16i","A","EASY","SS2","THIRD","sqrt(-16) = sqrt(16) * sqrt(-1) = 4i.","Complex Numbers"
"Find the determinant of matrix [[3, 2], [1, 4]]. (Variation 2)","10","14","12","8","A","EASY","SS2","THIRD","Det = (3*4) - (2*1) = 12 - 2 = 10.","Matrices"
"Find the magnitude of vector a = 3i + 4j. (Variation 2)","5","7","1","25","A","EASY","SS3","FIRST","|a| = sqrt(3^2 + 4^2) = sqrt(9 + 16) = 5.","Vectors"
"Calculate the momentum of a 4kg mass moving at 5m/s. (Variation 2)","9 kg m/s","20 kg m/s","1.25 kg m/s","40 kg m/s","B","EASY","SS3","SECOND","Momentum = mass * velocity = 4 * 5 = 20 kg m/s.","Mechanics"
"If nC2 = 15, find n. (Variation 2)","5","6","7","8","B","HARD","SS3","THIRD","n(n-1)/2 = 15 => n^2 - n - 30 = 0 => (n-6)(n+5)=0 => n = 6.","Combinatorics"
"Simplify surd sqrt(50). (Variation 3)","2*sqrt(5)","5*sqrt(2)","10*sqrt(5)","25*sqrt(2)","B","EASY","SS1","FIRST","sqrt(50) = sqrt(25 * 2) = 5*sqrt(2).","Surds"
"Find the remainder when f(x) = x^3 - 2x^2 + 4 is divided by (x - 1). (Variation 3)","1","3","5","7","B","MEDIUM","SS1","SECOND","By Remainder Theorem, f(1) = 1^3 - 2(1) + 4 = 3.","Polynomials"
"Evaluate limit as x approaches 2 of (x^2 - 4)/(x - 2). (Variation 3)","0","2","4","Undefined","C","MEDIUM","SS2","FIRST","(x-2)(x+2)/(x-2) = x+2. As x->2, limit = 4.","Calculus"
