text,optionA,optionB,optionC,optionD,correctOption,difficulty,classLevel,term,explanation,topicTitle
"Which organelle is known as the powerhouse of the cell?","Nucleus","Mitochondria","Ribosome","Golgi body","B","EASY","SS1","FIRST","Mitochondria generate cellular energy in the form of ATP.","Cell Biology"
"The movement of water molecules from a region of lower solute concentration to higher solute concentration across a semi-permeable membrane is:","Diffusion","Osmosis","Plasmolysis","Active transport","B","MEDIUM","SS1","FIRST","Osmosis is specific to water movement across semi-permeable membranes.","Cell Biology"
"Which of the following organisms is an autotroph?","Amoeba","Fungus","Spirogyra","Tapeworm","C","EASY","SS1","SECOND","Spirogyra has chlorophyll and manufactures its own food via photosynthesis.","Nutrition"
"The organ responsible for pumping blood throughout the human body is:","Liver","Kidney","Heart","Lungs","A","EASY","SS1","THIRD","The muscular heart pumps blood through blood vessels.","Transport System"
"Which enzyme in saliva digests starch into maltose?","Pepsin","Ptyalin (Amylase)","Lipase","Trypsin","B","MEDIUM","SS2","FIRST","Salivary amylase (ptyalin) begins carbohydrate digestion in the mouth.","Nutrition"
"The main excretory organs in human beings are the:","Lungs","Kidneys","Skin","Liver","B","EASY","SS2","SECOND","Kidneys filter waste products (urea, salts) from blood to form urine.","Excretion"
"The part of the brain that controls balance and posture is the:","Cerebrum","Cerebellum","Medulla oblongata","Hypothalamus","B","MEDIUM","SS2","THIRD","Cerebellum coordinates voluntary movements and posture balance.","Nervous System"
"The physical appearance or observable characteristics of an organism is its:","Genotype","Phenotype","Allele","Chromosome","B","EASY","SS3","FIRST","Phenotype refers to physical traits expressed by genetic makeup.","Genetics"
"In Mendel's monohybrid cross, what is the phenotypic ratio in the F2 generation?","1:1","3:1","9:3:3:1","1:2:1","B","HARD","SS3","FIRST","F2 generation yields 3 dominant to 1 recessive phenotype ratio.","Genetics"
"Which of the following is a biotic component of an ecosystem?","Temperature","Sunlight","Decomposers","Soil pH","C","EASY","SS3","SECOND","Decomposers are living (biotic) organisms in an ecosystem.","Ecology"
"Which organelle is known as the powerhouse of the cell? (Variation 2)","Nucleus","Mitochondria","Ribosome","Golgi body","B","EASY","SS1","FIRST","Mitochondria generate cellular energy in the form of ATP.","Cell Biology"
"The movement of water molecules from a region of lower solute concentration to higher solute concentration across a semi-permeable membrane is: (Variation 2)","Diffusion","Osmosis","Plasmolysis","Active transport","B","MEDIUM","SS1","FIRST","Osmosis is specific to water movement across semi-permeable membranes.","Cell Biology"
"Which of the following organisms is an autotroph? (Variation 2)","Amoeba","Fungus","Spirogyra","Tapeworm","C","EASY","SS1","SECOND","Spirogyra has chlorophyll and manufactures its own food via photosynthesis.","Nutrition"
"The organ responsible for pumping blood throughout the human body is: (Variation 2)","Liver","Kidney","Heart","Lungs","A","EASY","SS1","THIRD","The muscular heart pumps blood through blood vessels.","Transport System"
"Which enzyme in saliva digests starch into maltose? (Variation 2)","Pepsin","Ptyalin (Amylase)","Lipase","Trypsin","B","MEDIUM","SS2","FIRST","Salivary amylase (ptyalin) begins carbohydrate digestion in the mouth.","Nutrition"
"The main excretory organs in human beings are the: (Variation 2)","Lungs","Kidneys","Skin","Liver","B","EASY","SS2","SECOND","Kidneys filter waste products (urea, salts) from blood to form urine.","Excretion"
"The part of the brain that controls balance and posture is the: (Variation 2)","Cerebrum","Cerebellum","Medulla oblongata","Hypothalamus","B","MEDIUM","SS2","THIRD","Cerebellum coordinates voluntary movements and posture balance.","Nervous System"
"The physical appearance or observable characteristics of an organism is its: (Variation 2)","Genotype","Phenotype","Allele","Chromosome","B","EASY","SS3","FIRST","Phenotype refers to physical traits expressed by genetic makeup.","Genetics"
"In Mendel's monohybrid cross, what is the phenotypic ratio in the F2 generation? (Variation 2)","1:1","3:1","9:3:3:1","1:2:1","B","HARD","SS3","FIRST","F2 generation yields 3 dominant to 1 recessive phenotype ratio.","Genetics"
"Which of the following is a biotic component of an ecosystem? (Variation 2)","Temperature","Sunlight","Decomposers","Soil pH","C","EASY","SS3","SECOND","Decomposers are living (biotic) organisms in an ecosystem.","Ecology"
"Which organelle is known as the powerhouse of the cell? (Variation 3)","Nucleus","Mitochondria","Ribosome","Golgi body","B","EASY","SS1","FIRST","Mitochondria generate cellular energy in the form of ATP.","Cell Biology"
"The movement of water molecules from a region of lower solute concentration to higher solute concentration across a semi-permeable membrane is: (Variation 3)","Diffusion","Osmosis","Plasmolysis","Active transport","B","MEDIUM","SS1","FIRST","Osmosis is specific to water movement across semi-permeable membranes.","Cell Biology"
"Which of the following organisms is an autotroph? (Variation 3)","Amoeba","Fungus","Spirogyra","Tapeworm","C","EASY","SS1","SECOND","Spirogyra has chlorophyll and manufactures its own food via photosynthesis.","Nutrition"
"The organ responsible for pumping blood throughout the human body is: (Variation 3)","Liver","Kidney","Heart","Lungs","A","EASY","SS1","THIRD","The muscular heart pumps blood through blood vessels.","Transport System"
"Which enzyme in saliva digests starch into maltose? (Variation 3)","Pepsin","Ptyalin (Amylase)","Lipase","Trypsin","B","MEDIUM","SS2","FIRST","Salivary amylase (ptyalin) begins carbohydrate digestion in the mouth.","Nutrition"
"The main excretory organs in human beings are the: (Variation 3)","Lungs","Kidneys","Skin","Liver","B","EASY","SS2","SECOND","Kidneys filter waste products (urea, salts) from blood to form urine.","Excretion"
"The part of the brain that controls balance and posture is the: (Variation 3)","Cerebrum","Cerebellum","Medulla oblongata","Hypothalamus","B","MEDIUM","SS2","THIRD","Cerebellum coordinates voluntary movements and posture balance.","Nervous System"
"The physical appearance or observable characteristics of an organism is its: (Variation 3)","Genotype","Phenotype","Allele","Chromosome","B","EASY","SS3","FIRST","Phenotype refers to physical traits expressed by genetic makeup.","Genetics"
"In Mendel's monohybrid cross, what is the phenotypic ratio in the F2 generation? (Variation 3)","1:1","3:1","9:3:3:1","1:2:1","B","HARD","SS3","FIRST","F2 generation yields 3 dominant to 1 recessive phenotype ratio.","Genetics"
"Which of the following is a biotic component of an ecosystem? (Variation 3)","Temperature","Sunlight","Decomposers","Soil pH","C","EASY","SS3","SECOND","Decomposers are living (biotic) organisms in an ecosystem.","Ecology"
"Which organelle is known as the powerhouse of the cell? (Variation 4)","Nucleus","Mitochondria","Ribosome","Golgi body","B","EASY","SS1","FIRST","Mitochondria generate cellular energy in the form of ATP.","Cell Biology"
"The movement of water molecules from a region of lower solute concentration to higher solute concentration across a semi-permeable membrane is: (Variation 4)","Diffusion","Osmosis","Plasmolysis","Active transport","B","MEDIUM","SS1","FIRST","Osmosis is specific to water movement across semi-permeable membranes.","Cell Biology"
"Which of the following organisms is an autotroph? (Variation 4)","Amoeba","Fungus","Spirogyra","Tapeworm","C","EASY","SS1","SECOND","Spirogyra has chlorophyll and manufactures its own food via photosynthesis.","Nutrition"
"The organ responsible for pumping blood throughout the human body is: (Variation 4)","Liver","Kidney","Heart","Lungs","A","EASY","SS1","THIRD","The muscular heart pumps blood through blood vessels.","Transport System"
"Which enzyme in saliva digests starch into maltose? (Variation 4)","Pepsin","Ptyalin (Amylase)","Lipase","Trypsin","B","MEDIUM","SS2","FIRST","Salivary amylase (ptyalin) begins carbohydrate digestion in the mouth.","Nutrition"
"The main excretory organs in human beings are the: (Variation 4)","Lungs","Kidneys","Skin","Liver","B","EASY","SS2","SECOND","Kidneys filter waste products (urea, salts) from blood to form urine.","Excretion"
"The part of the brain that controls balance and posture is the: (Variation 4)","Cerebrum","Cerebellum","Medulla oblongata","Hypothalamus","B","MEDIUM","SS2","THIRD","Cerebellum coordinates voluntary movements and posture balance.","Nervous System"
"The physical appearance or observable characteristics of an organism is its: (Variation 4)","Genotype","Phenotype","Allele","Chromosome","B","EASY","SS3","FIRST","Phenotype refers to physical traits expressed by genetic makeup.","Genetics"
"In Mendel's monohybrid cross, what is the phenotypic ratio in the F2 generation? (Variation 4)","1:1","3:1","9:3:3:1","1:2:1","B","HARD","SS3","FIRST","F2 generation yields 3 dominant to 1 recessive phenotype ratio.","Genetics"
"Which of the following is a biotic component of an ecosystem? (Variation 4)","Temperature","Sunlight","Decomposers","Soil pH","C","EASY","SS3","SECOND","Decomposers are living (biotic) organisms in an ecosystem.","Ecology"
"Which organelle is known as the powerhouse of the cell? (Variation 5)","Nucleus","Mitochondria","Ribosome","Golgi body","B","EASY","SS1","FIRST","Mitochondria generate cellular energy in the form of ATP.","Cell Biology"
"The movement of water molecules from a region of lower solute concentration to higher solute concentration across a semi-permeable membrane is: (Variation 5)","Diffusion","Osmosis","Plasmolysis","Active transport","B","MEDIUM","SS1","FIRST","Osmosis is specific to water movement across semi-permeable membranes.","Cell Biology"
"Which of the following organisms is an autotroph? (Variation 5)","Amoeba","Fungus","Spirogyra","Tapeworm","C","EASY","SS1","SECOND","Spirogyra has chlorophyll and manufactures its own food via photosynthesis.","Nutrition"
"The organ responsible for pumping blood throughout the human body is: (Variation 5)","Liver","Kidney","Heart","Lungs","A","EASY","SS1","THIRD","The muscular heart pumps blood through blood vessels.","Transport System"
"Which enzyme in saliva digests starch into maltose? (Variation 5)","Pepsin","Ptyalin (Amylase)","Lipase","Trypsin","B","MEDIUM","SS2","FIRST","Salivary amylase (ptyalin) begins carbohydrate digestion in the mouth.","Nutrition"
"The main excretory organs in human beings are the: (Variation 5)","Lungs","Kidneys","Skin","Liver","B","EASY","SS2","SECOND","Kidneys filter waste products (urea, salts) from blood to form urine.","Excretion"
"The part of the brain that controls balance and posture is the: (Variation 5)","Cerebrum","Cerebellum","Medulla oblongata","Hypothalamus","B","MEDIUM","SS2","THIRD","Cerebellum coordinates voluntary movements and posture balance.","Nervous System"
"The physical appearance or observable characteristics of an organism is its: (Variation 5)","Genotype","Phenotype","Allele","Chromosome","B","EASY","SS3","FIRST","Phenotype refers to physical traits expressed by genetic makeup.","Genetics"
"In Mendel's monohybrid cross, what is the phenotypic ratio in the F2 generation? (Variation 5)","1:1","3:1","9:3:3:1","1:2:1","B","HARD","SS3","FIRST","F2 generation yields 3 dominant to 1 recessive phenotype ratio.","Genetics"
"Which of the following is a biotic component of an ecosystem? (Variation 5)","Temperature","Sunlight","Decomposers","Soil pH","C","EASY","SS3","SECOND","Decomposers are living (biotic) organisms in an ecosystem.","Ecology"
