text,optionA,optionB,optionC,optionD,correctOption,difficulty,classLevel,term,explanation,topicTitle
"Which organelle is known as the powerhouse of the cell?","Ribosome","Mitochondria","Nucleus","Golgi apparatus","B","EASY","SS1","FIRST","The mitochondria produces ATP through cellular respiration, supplying energy to the cell. It is therefore called the powerhouse of the cell.","Cell Structure & Organelles"
"The cell theory states that all living things are made up of","atoms","molecules","cells","tissues","C","EASY","SS1","FIRST","The cell theory, proposed by Schleiden and Schwann, states that all living organisms are composed of one or more cells, and the cell is the basic unit of life.","Cell Biology"
"Which part of the cell controls all its activities?","Cell membrane","Cytoplasm","Nucleus","Mitochondria","C","EASY","SS1","FIRST","The nucleus contains the genetic material (DNA) which directs all cellular activities including growth, metabolism, and reproduction.","Cell Structure & Organelles"
"The movement of water molecules from a region of higher water potential to a region of lower water potential through a semi-permeable membrane is called","diffusion","osmosis","active transport","plasmolysis","B","EASY","SS1","FIRST","Osmosis is specifically the movement of water through a selectively permeable membrane from a dilute solution (high water potential) to a concentrated solution (low water potential).","Diffusion & Osmosis"
"Which organelle is responsible for protein synthesis?","Lysosome","Ribosome","Vacuole","Centriole","B","EASY","SS1","FIRST","Ribosomes are small organelles found in the cytoplasm or on the rough endoplasmic reticulum. They translate mRNA into proteins.","Cell Structure & Organelles"
"The process by which substances move from a region of high concentration to a region of low concentration is called","osmosis","plasmolysis","diffusion","active transport","C","EASY","SS1","FIRST","Diffusion is the passive movement of particles from an area of high concentration to low concentration along a concentration gradient. No energy is required.","Diffusion & Osmosis"
"A cell placed in a hypertonic solution will","swell and burst","shrink (crenate)","remain unchanged","divide rapidly","B","MEDIUM","SS1","FIRST","In a hypertonic solution, the external concentration is higher than inside the cell, so water leaves the cell by osmosis, causing it to shrink or undergo crenation (in animal cells) or plasmolysis (in plant cells).","Diffusion & Osmosis"
"The rigid outer covering of a plant cell is called the","cell membrane","cell wall","cytoplasm","vacuole","B","EASY","SS1","FIRST","The cell wall is made of cellulose and provides structural support and rigidity to plant cells. Animal cells do not have a cell wall.","Cell Structure & Organelles"
"Which of the following is NOT found in a plant cell?","Chloroplast","Cell wall","Centriole","Large vacuole","C","MEDIUM","SS1","FIRST","Centrioles are found in animal cells and lower plant cells. They are involved in cell division (forming the spindle). Mature plant cells do not contain centrioles.","Cell Structure & Organelles"
"The endoplasmic reticulum is described as 'rough' when it has","many mitochondria attached","ribosomes attached","chloroplasts attached","lysosomes attached","B","MEDIUM","SS1","FIRST","Rough endoplasmic reticulum (RER) has ribosomes attached to its surface, giving it a rough appearance. These ribosomes synthesise proteins that are then processed by the RER.","Cell Structure & Organelles"
"Turgidity in plant cells is caused by","loss of water from the vacuole","gain of water by osmosis into the vacuole","active pumping of salts","cell wall breakdown","B","MEDIUM","SS1","FIRST","When a plant cell absorbs water by osmosis, the vacuole enlarges and pushes against the cell wall, making the cell firm and turgid. This maintains the plant's structural rigidity.","Diffusion & Osmosis"
"The Golgi apparatus is primarily responsible for","energy production","protein packaging and secretion","DNA replication","photosynthesis","B","MEDIUM","SS1","FIRST","The Golgi apparatus (Golgi body) processes, packages, and distributes proteins and lipids received from the endoplasmic reticulum. It acts as the cell's postal system.","Cell Structure & Organelles"
"Which scientist first observed and described cells using a microscope?","Louis Pasteur","Robert Hooke","Gregor Mendel","Charles Darwin","B","EASY","SS1","FIRST","Robert Hooke first observed cells in 1665 when he examined a thin slice of cork under his microscope. He named what he saw 'cells' because they reminded him of monks' rooms.","Cell Biology"
"The semi-permeable membrane of a cell is the","cell wall","nucleus","cell membrane","vacuole","C","EASY","SS1","FIRST","The cell membrane (plasma membrane) is selectively permeable, controlling what enters and exits the cell. It is made of a phospholipid bilayer with embedded proteins.","Cell Structure & Organelles"
"Plasmolysis occurs in a plant cell when it is placed in","a hypotonic solution","distilled water","a hypertonic solution","an isotonic solution","C","HARD","SS1","FIRST","Plasmolysis is the shrinkage of the cytoplasm away from the cell wall when a plant cell loses water by osmosis in a hypertonic (concentrated) solution.","Diffusion & Osmosis"
"Which kingdom do mushrooms belong to?","Plantae","Animalia","Fungi","Monera","C","EASY","SS1","SECOND","Mushrooms are members of the kingdom Fungi. Fungi are eukaryotic organisms that are heterotrophic, absorbing nutrients from their environment. They differ from plants in lacking chlorophyll.","Classification of Living Things"
"The binomial nomenclature system of naming organisms was introduced by","Charles Darwin","Gregor Mendel","Carl Linnaeus","Robert Hooke","C","EASY","SS1","SECOND","Carl Linnaeus (1707–1778) developed the binomial nomenclature system, where each organism is given a two-part Latin name: genus and species. For example, Homo sapiens.","Classification of Living Things"
"Which of the following is the correct hierarchical order of classification from largest to smallest?","Species, Genus, Family, Order","Kingdom, Phylum, Class, Order, Family, Genus, Species","Family, Order, Class, Phylum","Genus, Species, Kingdom, Phylum","B","MEDIUM","SS1","SECOND","The correct taxonomic hierarchy from broadest to most specific is: Kingdom, Phylum (Division for plants), Class, Order, Family, Genus, Species.","Classification of Living Things"
"Organisms that make their own food are called","consumers","decomposers","autotrophs","heterotrophs","C","EASY","SS1","SECOND","Autotrophs (producers) manufacture their own food using sunlight (photosynthesis) or chemical energy (chemosynthesis). Green plants are the most common autotrophs.","Nutrition"
"Which nutrient provides the most energy per gram?","Carbohydrates","Proteins","Vitamins","Fats","D","MEDIUM","SS1","SECOND","Fats (lipids) provide approximately 9 kcal per gram, more than double the energy from carbohydrates or proteins (approximately 4 kcal per gram each). They are the most energy-dense macronutrient.","Nutrition"
"The deficiency of Vitamin C causes","rickets","scurvy","night blindness","beri-beri","B","EASY","SS1","SECOND","Scurvy is caused by Vitamin C (ascorbic acid) deficiency. Symptoms include swollen, bleeding gums, fatigue, and poor wound healing. Vitamin C is essential for collagen synthesis.","Nutrition"
"Photosynthesis takes place in which organelle?","Mitochondria","Ribosome","Chloroplast","Nucleus","C","EASY","SS1","SECOND","Chloroplasts contain chlorophyll, the green pigment that absorbs light energy. Photosynthesis (light and dark reactions) occurs within the chloroplast.","Photosynthesis"
"The overall equation for photosynthesis is","6CO₂ + 6H₂O → C₆H₁₂O₆ + 6O₂","C₆H₁₂O₆ + 6O₂ → 6CO₂ + 6H₂O","6O₂ + 6H₂O → C₆H₁₂O₆ + 6CO₂","C₆H₁₂O₆ → 6CO₂ + 6H₂O","A","MEDIUM","SS1","SECOND","The equation 6CO₂ + 6H₂O + light energy → C₆H₁₂O₆ + 6O₂ summarises photosynthesis. Carbon dioxide and water are converted into glucose and oxygen using light energy.","Photosynthesis"
"The green pigment in plants responsible for absorbing light energy is","carotene","xanthophyll","chlorophyll","melanin","C","EASY","SS1","SECOND","Chlorophyll is the primary photosynthetic pigment found in the thylakoid membranes of chloroplasts. It absorbs red and blue light most effectively and reflects green light, making plants appear green.","Photosynthesis"
"Which of the following factors does NOT directly affect the rate of photosynthesis?","Light intensity","Carbon dioxide concentration","Temperature","Oxygen concentration","D","MEDIUM","SS1","SECOND","The main limiting factors of photosynthesis are light intensity, CO₂ concentration, water, and temperature. Oxygen concentration does not directly limit the rate of photosynthesis.","Photosynthesis"
"The light stage of photosynthesis produces which of the following?","Glucose and CO₂","ATP, NADPH and O₂","Glucose and water","CO₂ and water","B","HARD","SS1","SECOND","The light-dependent stage occurs in the thylakoid membranes. It uses light energy to split water (photolysis), producing ATP, NADPH (reduced NADP), and oxygen as a by-product.","Photosynthesis"
"Which type of respiration does not require oxygen?","Aerobic respiration","Anaerobic respiration","External respiration","Internal respiration","B","EASY","SS1","THIRD","Anaerobic respiration occurs in the absence of oxygen. In animals/yeast, glucose is partially broken down, producing lactic acid or ethanol and carbon dioxide with a small amount of ATP.","Respiration"
"The complete oxidation of glucose in aerobic respiration produces","lactic acid only","ethanol and CO₂","CO₂, water and ATP","only ATP","C","MEDIUM","SS1","THIRD","Aerobic respiration: C₆H₁₂O₆ + 6O₂ → 6CO₂ + 6H₂O + 38 ATP. Glucose is fully oxidised to carbon dioxide and water, releasing a large amount of energy (ATP).","Respiration"
"Anaerobic respiration in yeast produces","lactic acid and CO₂","ethanol and CO₂","lactic acid and water","ethanol and water","B","MEDIUM","SS1","THIRD","In yeast (fermentation), glucose is converted to ethanol (alcohol) and carbon dioxide. This process is used in brewing and bread-making. Only 2 ATP molecules are produced.","Respiration"
"The site of aerobic respiration in a cell is the","ribosome","nucleus","chloroplast","mitochondria","D","EASY","SS1","THIRD","Aerobic respiration occurs in the mitochondria. The Krebs cycle occurs in the mitochondrial matrix, while oxidative phosphorylation occurs on the inner mitochondrial membrane.","Respiration"
"The net yield of ATP from the complete aerobic respiration of one molecule of glucose is","2","4","38","100","C","HARD","SS1","THIRD","Complete aerobic respiration of one glucose molecule yields approximately 36–38 ATP molecules. Glycolysis yields 2 ATP, Krebs cycle yields 2 ATP, and the electron transport chain yields about 34 ATP.","Respiration"
"Which vessel carries blood from the heart to the lungs?","Pulmonary vein","Aorta","Pulmonary artery","Vena cava","C","MEDIUM","SS2","FIRST","The pulmonary artery carries deoxygenated blood from the right ventricle of the heart to the lungs for oxygenation. It is the only artery that carries deoxygenated blood.","Transport in Animals"
"Which blood component is responsible for clotting?","Red blood cells","White blood cells","Platelets","Plasma","C","EASY","SS2","FIRST","Platelets (thrombocytes) are small cell fragments that aggregate at a wound site and initiate the clotting cascade, preventing excessive blood loss.","Transport in Animals"
"The xylem vessels in plants transport","water and mineral salts","glucose and amino acids","hormones only","water and sucrose","A","EASY","SS2","FIRST","Xylem vessels transport water and dissolved mineral salts from the roots upward to the leaves and other parts of the plant. Movement is upward (from root to shoot).","Transport in Plants"
"Which of the following drives the transpiration stream in plants?","Root pressure only","Active transport in leaves","Transpiration pull (cohesion-tension)","Osmosis in xylem","C","HARD","SS2","FIRST","The cohesion-tension theory explains water movement in xylem. As water evaporates from leaves (transpiration), tension is created that pulls water upward. Cohesion between water molecules maintains a continuous column.","Transport in Plants"
"Phloem vessels transport","water and mineral salts","manufactured food (sucrose and amino acids)","oxygen only","carbon dioxide","B","MEDIUM","SS2","FIRST","Phloem conducts organic solutes (mainly sucrose and amino acids) manufactured in leaves to all parts of the plant — a process called translocation. Movement is in both directions.","Transport in Plants"
"The bicuspid (mitral) valve is found between the","right atrium and right ventricle","left atrium and left ventricle","left ventricle and aorta","right ventricle and pulmonary artery","B","MEDIUM","SS2","FIRST","The bicuspid (mitral) valve has two cusps and separates the left atrium from the left ventricle. It prevents backflow of blood into the left atrium when the left ventricle contracts.","Transport in Animals"
"The main nitrogenous excretory product in humans is","uric acid","ammonia","urea","creatinine","C","EASY","SS2","SECOND","Humans excrete nitrogen mainly as urea, which is produced in the liver by the ornithine cycle (urea cycle) from the breakdown of excess amino acids. Urea is less toxic than ammonia.","Excretion"
"Which organ is the main organ of excretion in humans?","Liver","Skin","Lungs","Kidneys","D","EASY","SS2","SECOND","The kidneys are the primary excretory organs in humans. They filter blood, removing urea, excess salts, and water to produce urine. They also regulate blood pH and water balance.","Excretion"
"The functional unit of the kidney is the","nephron","glomerulus","Bowman's capsule","loop of Henle","A","MEDIUM","SS2","SECOND","The nephron is the structural and functional unit of the kidney. Each kidney contains about one million nephrons. It consists of the Bowman's capsule, proximal tubule, loop of Henle, and distal tubule.","Excretion"
"Glomerular filtration in the kidney filters blood based primarily on","molecule size and pressure","chemical charge","hormone signals","temperature","A","HARD","SS2","SECOND","Ultrafiltration occurs in the glomerulus under high hydrostatic pressure. Small molecules (water, glucose, urea, salts) pass into the Bowman's capsule, while large proteins and blood cells remain in the blood.","Excretion"
