text,optionA,optionB,optionC,optionD,correctOption,difficulty,classLevel,term,explanation,topicTitle
"Read the passage and answer the question. 'The harmattan season brought with it a biting cold that settled over the village like a grey blanket.' What literary device is used in this sentence?","Simile","Metaphor","Personification","Hyperbole","A","EASY","SS1","FIRST","The sentence uses a simile because it compares the harmattan cold to a grey blanket using the word 'like'.","Comprehension: Figures of Speech in Passages"
"In the sentence 'The old man, together with his sons, was present at the ceremony,' which word is the subject?","sons","man","ceremony","together","B","MEDIUM","SS1","FIRST","The subject is 'man'. The phrase 'together with his sons' is a parenthetical phrase and does not change the singular subject. The verb 'was' correctly agrees with the singular subject 'man'.","Comprehension: Subject-Verb Agreement"
"Choose the word that is CLOSEST in meaning to the word 'BENEVOLENT'.","Cruel","Generous","Timid","Greedy","B","EASY","SS1","FIRST","Benevolent means well-meaning and kindly. 'Generous' is the closest synonym among the options.","Lexis & Structure: Synonyms"
"Choose the word that is OPPOSITE in meaning to 'VERBOSE'.","Talkative","Loquacious","Concise","Eloquent","C","MEDIUM","SS1","FIRST","Verbose means using more words than needed. Its antonym is 'concise', meaning brief and to the point.","Lexis & Structure: Antonyms"
"Which of the following words is a COLLECTIVE NOUN?","Run","Flock","Beautiful","Slowly","B","EASY","JSS3","FIRST","A collective noun refers to a group of individuals. 'Flock' refers to a group of birds or sheep. The others are a verb, adjective, and adverb respectively.","Nouns: Collective Nouns"
"In the sentence 'She sings beautifully,' the word 'beautifully' is a/an _____.","Noun","Adjective","Adverb","Pronoun","C","EASY","JSS3","FIRST","'Beautifully' modifies the verb 'sings', telling us how she sings. A word that modifies a verb is an adverb.","Word Classes: Adverbs"
"Choose the correct option to complete the sentence: 'Neither the students nor the teacher ___ aware of the time.'","were","are","was","have been","C","HARD","SS1","FIRST","When 'neither...nor' is used, the verb agrees with the subject closest to it (the teacher). Since 'teacher' is singular, the correct verb is 'was'.","Lexis & Structure: Subject-Verb Agreement"
"Which of the following words best collocates with the word 'HEAVY'?","Heavy smile","Heavy rain","Heavy colour","Heavy idea","B","EASY","SS1","SECOND","'Heavy rain' is the correct and most natural collocation in English. We say 'heavy rain', not 'heavy smile' or 'heavy colour'.","Lexis & Structure: Collocations"
"Identify the word class of the underlined word: 'The elderly man walked __slowly__ down the street.'","Verb","Adjective","Adverb","Noun","C","EASY","SS1","SECOND","'Slowly' is an adverb because it modifies the verb 'walked', describing how the man walked.","Lexis & Structure: Word Classes"
"Which of the following sentences uses the word 'FAST' as an adjective?","He runs fast.","She is a fast runner.","They fasted for three days.","The car moved fast.","B","MEDIUM","SS1","SECOND","In option B, 'fast' modifies the noun 'runner', making it an adjective. In options A and D, 'fast' is an adverb modifying the verb.","Lexis & Structure: Word Classes"
"Choose the word most opposite in meaning to 'INDIGENOUS'.","Native","Local","Foreign","Aboriginal","C","MEDIUM","SS1","SECOND","Indigenous means originating or occurring naturally in a particular place. Its antonym is 'foreign', meaning from another place.","Lexis & Structure: Antonyms"
"Which of the following is the correct synonym for 'DILIGENT'?","Lazy","Hardworking","Careless","Slow","B","EASY","SS1","SECOND","Diligent means having or showing care and effort in one's work. 'Hardworking' is the correct synonym.","Lexis & Structure: Synonyms"
"Choose the correct verb tense: 'By the time she arrived, the meeting ___.'","had ended","has ended","ended","will end","A","MEDIUM","SS1","THIRD","The past perfect tense 'had ended' is used here because the meeting ended before another past event (her arrival). This sequence of past events requires the past perfect.","Grammar: Tenses"
"Fill in the correct article: '___ University of Lagos is a federal institution.'","A","An","The","No article needed","C","MEDIUM","SS1","THIRD","'The' is used with names of institutions that include 'of', such as 'The University of Lagos'. It is a specific, unique institution, requiring the definite article.","Grammar: Articles"
