text,optionA,optionB,optionC,optionD,correctOption,difficulty,classLevel,term,explanation,topicTitle
"Convert 25 to a binary number (base 2).","11001","10101","11101","10011","A","EASY","SS1","FIRST","25 = 16 + 8 + 1 = 11001 in base 2.","Number Bases"
"Simplify log10(1000).","1","2","3","4","C","EASY","SS1","FIRST","1000 = 10^3, so log10(10^3) = 3.","Logarithms"
"Solve for x if 2^x = 32.","3","4","5","6","C","EASY","SS1","SECOND","32 = 2^5, hence x = 5.","Indices"
"Find the roots of the quadratic equation x^2 - 5x + 6 = 0.","2 and 3","-2 and -3","1 and 6","-1 and -6","A","MEDIUM","SS1","SECOND","(x - 2)(x - 3) = 0 => x = 2 or x = 3.","Quadratic Equations"
"Find the 10th term of the AP: 2, 5, 8, 11...","27","29","31","33","B","MEDIUM","SS2","FIRST","T_n = a + (n-1)d = 2 + (9 * 3) = 2 + 27 = 29.","Sequences and Series"
"Calculate the area of a circle with radius 7cm (use pi = 22/7).","44 cm^2","154 cm^2","308 cm^2","616 cm^2","B","EASY","SS2","SECOND","Area = pi * r^2 = 22/7 * 49 = 154 cm^2.","Mensuration"
"If sin(theta) = 3/5, find cos(theta) for an acute angle theta.","4/5","3/4","5/4","5/3","A","EASY","SS2","THIRD","Using 3-4-5 right triangle, cos(theta) = Adjacent/Hypotenuse = 4/5.","Trigonometry"
"What is the mean of the numbers: 4, 8, 12, 16, 20?","10","12","14","16","B","EASY","SS3","FIRST","Sum = 70. Count = 5. Mean = 70 / 5 = 12.","Statistics"
"A fair die is rolled once. What is the probability of getting an even number?","1/6","1/3","1/2","2/3","C","EASY","SS3","FIRST","Even numbers are 2, 4, 6 (3 outcomes out of 6). Prob = 3/6 = 1/2.","Probability"
"Differentiate y = x^3 with respect to x.","3x","3x^2","x^2","6x","B","MEDIUM","SS3","SECOND","dy/dx of x^n = n*x^(n-1), so d(x^3)/dx = 3x^2.","Calculus"
"Convert 25 to a binary number (base 2). (Variation 2)","11001","10101","11101","10011","A","EASY","SS1","FIRST","25 = 16 + 8 + 1 = 11001 in base 2.","Number Bases"
"Simplify log10(1000). (Variation 2)","1","2","3","4","C","EASY","SS1","FIRST","1000 = 10^3, so log10(10^3) = 3.","Logarithms"
"Solve for x if 2^x = 32. (Variation 2)","3","4","5","6","C","EASY","SS1","SECOND","32 = 2^5, hence x = 5.","Indices"
"Find the roots of the quadratic equation x^2 - 5x + 6 = 0. (Variation 2)","2 and 3","-2 and -3","1 and 6","-1 and -6","A","MEDIUM","SS1","SECOND","(x - 2)(x - 3) = 0 => x = 2 or x = 3.","Quadratic Equations"
"Find the 10th term of the AP: 2, 5, 8, 11... (Variation 2)","27","29","31","33","B","MEDIUM","SS2","FIRST","T_n = a + (n-1)d = 2 + (9 * 3) = 2 + 27 = 29.","Sequences and Series"
"Calculate the area of a circle with radius 7cm (use pi = 22/7). (Variation 2)","44 cm^2","154 cm^2","308 cm^2","616 cm^2","B","EASY","SS2","SECOND","Area = pi * r^2 = 22/7 * 49 = 154 cm^2.","Mensuration"
"If sin(theta) = 3/5, find cos(theta) for an acute angle theta. (Variation 2)","4/5","3/4","5/4","5/3","A","EASY","SS2","THIRD","Using 3-4-5 right triangle, cos(theta) = Adjacent/Hypotenuse = 4/5.","Trigonometry"
"What is the mean of the numbers: 4, 8, 12, 16, 20? (Variation 2)","10","12","14","16","B","EASY","SS3","FIRST","Sum = 70. Count = 5. Mean = 70 / 5 = 12.","Statistics"
"A fair die is rolled once. What is the probability of getting an even number? (Variation 2)","1/6","1/3","1/2","2/3","C","EASY","SS3","FIRST","Even numbers are 2, 4, 6 (3 outcomes out of 6). Prob = 3/6 = 1/2.","Probability"
"Differentiate y = x^3 with respect to x. (Variation 2)","3x","3x^2","x^2","6x","B","MEDIUM","SS3","SECOND","dy/dx of x^n = n*x^(n-1), so d(x^3)/dx = 3x^2.","Calculus"
"Convert 25 to a binary number (base 2). (Variation 3)","11001","10101","11101","10011","A","EASY","SS1","FIRST","25 = 16 + 8 + 1 = 11001 in base 2.","Number Bases"
"Simplify log10(1000). (Variation 3)","1","2","3","4","C","EASY","SS1","FIRST","1000 = 10^3, so log10(10^3) = 3.","Logarithms"
"Solve for x if 2^x = 32. (Variation 3)","3","4","5","6","C","EASY","SS1","SECOND","32 = 2^5, hence x = 5.","Indices"
"Find the roots of the quadratic equation x^2 - 5x + 6 = 0. (Variation 3)","2 and 3","-2 and -3","1 and 6","-1 and -6","A","MEDIUM","SS1","SECOND","(x - 2)(x - 3) = 0 => x = 2 or x = 3.","Quadratic Equations"
"Find the 10th term of the AP: 2, 5, 8, 11... (Variation 3)","27","29","31","33","B","MEDIUM","SS2","FIRST","T_n = a + (n-1)d = 2 + (9 * 3) = 2 + 27 = 29.","Sequences and Series"
"Calculate the area of a circle with radius 7cm (use pi = 22/7). (Variation 3)","44 cm^2","154 cm^2","308 cm^2","616 cm^2","B","EASY","SS2","SECOND","Area = pi * r^2 = 22/7 * 49 = 154 cm^2.","Mensuration"
"If sin(theta) = 3/5, find cos(theta) for an acute angle theta. (Variation 3)","4/5","3/4","5/4","5/3","A","EASY","SS2","THIRD","Using 3-4-5 right triangle, cos(theta) = Adjacent/Hypotenuse = 4/5.","Trigonometry"
"What is the mean of the numbers: 4, 8, 12, 16, 20? (Variation 3)","10","12","14","16","B","EASY","SS3","FIRST","Sum = 70. Count = 5. Mean = 70 / 5 = 12.","Statistics"
"A fair die is rolled once. What is the probability of getting an even number? (Variation 3)","1/6","1/3","1/2","2/3","C","EASY","SS3","FIRST","Even numbers are 2, 4, 6 (3 outcomes out of 6). Prob = 3/6 = 1/2.","Probability"
